split,sample_id,source_group,noise_index,timestep_index,noise_seed,t,winner_full_residual,winner_mask_residual,winner_boundary_residual,winner_outside_residual,winner_pred_norm,winner_target_norm,winner_noise_norm,winner_z0_norm,loser_full_residual,loser_mask_residual,loser_boundary_residual,loser_outside_residual,loser_pred_norm,loser_target_norm,loser_noise_norm,loser_z0_norm
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,1,2,20280899,0.55,0.04098927229642868,0.18331140279769897,0.4861217141151428,0.025863908231258392,725.3283081054688,725.683837890625,573.487060546875,445.629150390625,0.0451422855257988,0.27027034759521484,0.4699290990829468,0.025864962488412857,723.7539672851562,723.6681518554688,573.487060546875,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,1,3,20280899,0.75,0.028484264388680458,0.19298876821994781,0.34415605664253235,0.01468539610505104,723.2698974609375,725.683837890625,573.487060546875,445.629150390625,0.029703110456466675,0.22852593660354614,0.30919426679611206,0.01458086259663105,722.0852661132812,723.6681518554688,573.487060546875,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,2,0,20290072,0.15,0.26851770281791687,0.3219028413295746,1.143407940864563,0.24597853422164917,752.4130859375,724.5189819335938,571.66796875,445.629150390625,0.27089056372642517,0.34638383984565735,1.1540765762329102,0.2467242032289505,751.1383056640625,722.3179931640625,571.66796875,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,2,1,20290072,0.35,0.07946713268756866,0.21110500395298004,0.754094123840332,0.05936248227953911,728.2447509765625,724.5189819335938,571.66796875,445.629150390625,0.0854136049747467,0.31772369146347046,0.7765220999717712,0.05968666821718216,726.8789672851562,722.3179931640625,571.66796875,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,2,2,20290072,0.55,0.04274185746908188,0.21001549065113068,0.5129949450492859,0.025843877345323563,723.5580444335938,724.5189819335938,571.66796875,445.629150390625,0.04598098248243332,0.28335845470428467,0.4771423041820526,0.025840716436505318,722.0502319335938,722.3179931640625,571.66796875,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,2,3,20290072,0.75,0.03190624341368675,0.25533241033554077,0.36118465662002563,0.014591632410883904,721.8998413085938,724.5189819335938,571.66796875,445.629150390625,0.031023938208818436,0.25391697883605957,0.3092174232006073,0.01451263390481472,720.5006103515625,722.3179931640625,571.66796875,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,3,0,20299245,0.15,0.2699088752269745,0.32972851395606995,1.1783419847488403,0.24649426341056824,753.8573608398438,726.7833862304688,574.0484008789062,445.629150390625,0.27120792865753174,0.3443942070007324,1.1651861667633057,0.2469426840543747,752.3045043945312,724.6583862304688,574.0484008789062,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,3,1,20299245,0.35,0.07895959168672562,0.2026587575674057,0.7429339289665222,0.05942533165216446,729.7779541015625,726.7833862304688,574.0484008789062,445.629150390625,0.08394850045442581,0.29445990920066833,0.7651854753494263,0.05958550050854683,728.1845092773438,724.6583862304688,574.0484008789062,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,3,2,20299245,0.55,0.04118204489350319,0.18161380290985107,0.4947195053100586,0.025834523141384125,725.5330810546875,726.7833862304688,574.0484008789062,445.629150390625,0.044131554663181305,0.25147545337677,0.4713083505630493,0.025762446224689484,723.9061279296875,724.6583862304688,574.0484008789062,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,3,3,20299245,0.75,0.029829123988747597,0.21336424350738525,0.357655793428421,0.014563222415745258,723.429931640625,726.7833862304688,574.0484008789062,445.629150390625,0.02959451451897621,0.22753068804740906,0.3152754008769989,0.01446940191090107,722.5032958984375,724.6583862304688,574.0484008789062,442.21759033203125
train32,BLENDER_SCHOOL004_00001,BLENDER_SCHOOL004,0,0,20272735,0.15,0.23556427657604218,0.17983727157115936,0.2565467655658722,0.23760344088077545,734.4572143554688,707.27685546875,572.0792236328125,416.2352600097656,0.02720368467271328,0.2031412124633789,0.24056202173233032,0.011630521155893803,697.7838745117188,706.9785766601562,572.0792236328125,415.7307434082031
train32,BLENDER_SCHOOL004_00001,BLENDER_SCHOOL004,0,1,20272735,0.35,0.0534721203148365,0.09229032695293427,0.13145965337753296,0.04898618534207344,708.2886962890625,707.27685546875,572.0792236328125,416.2352600097656,0.012387566268444061,0.10408409684896469,0.1258002668619156,0.004411624278873205,701.69580078125,706.9785766601562,572.0792236328125,415.7307434082031
train32,BLENDER_SCHOOL004_00001,BLENDER_SCHOOL004,0,2,20272735,0.55,0.025651026517152786,0.06386871635913849,0.09995373338460922,0.021295206621289253,703.9124145507812,707.27685546875,572.0792236328125,416.2352600097656,0.009401100687682629,0.07907487452030182,0.11464111506938934,0.002920370316132903,701.836181640625,706.9785766601562,572.0792236328125,415.7307434082031
train32,BLENDER_SCHOOL004_00001,BLENDER_SCHOOL004,0,3,20272735,0.75,0.01834781840443611,0.05601423978805542,0.12563644349575043,0.012561062350869179,701.606201171875,707.27685546875,572.0792236328125,416.2352600097656,0.010303019545972347,0.07392407953739166,0.15096497535705566,0.00265924958512187,700.881591796875,706.9785766601562,572.0792236328125,415.7307434082031
train32,BLENDER_SCHOOL004_00001,BLENDER_SCHOOL004,1,0,20281908,0.15,0.23555663228034973,0.175872802734375,0.25035327672958374,0.23796841502189636,733.8501586914062,706.78173828125,572.5286865234375,416.2352600097656,0.027227921411395073,0.20316380262374878,0.23326407372951508,0.011793958023190498,697.5626220703125,706.4108276367188,572.5286865234375,415.7307434082031
train32,BLENDER_SCHOOL004_00001,BLENDER_SCHOOL004,1,1,20281908,0.35,0.05318243429064751,0.08798366039991379,0.12463940680027008,0.04905553534626961,707.9530639648438,706.78173828125,572.5286865234375,416.2352600097656,0.01248986180871725,0.10459592193365097,0.12530696392059326,0.004489284940063953,701.376953125,706.4108276367188,572.5286865234375,415.7307434082031
