recipe,tensor,module_group,shape,numel,mean_abs_delta,max_abs_delta,delta_norm,param_norm,delta_param_norm_ratio,zero_delta
frozen,blocks.10.attn1.to_out.0.bias,blocks.10,1536,1536,2.9681055835339976e-08,3.814697265625e-06,9.778366898146047e-06,0.50064828687554,1.953140988287731e-05,False
frozen,blocks.10.attn1.to_out.0.weight,blocks.10,1536x1536,2359296,8.256110461957178e-09,4.76837158203125e-06,0.00019000603335392636,53.32344828233401,3.5632735592771396e-06,False
frozen,blocks.10.attn1.to_q.bias,blocks.10,1536,1536,6.51925802230835e-09,2.384185791015625e-06,4.1148795113785755e-06,1.3556534259325559,3.0353477021938024e-06,False
frozen,blocks.10.attn1.to_q.weight,blocks.10,1536x1536,2359296,7.517558131553415e-09,5.245208740234375e-06,0.00017852964252907473,56.55995332664711,3.1564672887550076e-06,False
frozen,blocks.10.attn1.to_v.bias,blocks.10,1536,1536,5.762558430433273e-08,4.291534423828125e-06,1.2900653947897737e-05,0.1728968534024289,7.46147410664322e-05,False
frozen,blocks.10.attn1.to_v.weight,blocks.10,1536x1536,2359296,7.596018036792884e-09,5.245208740234375e-06,0.00018100894327430258,55.203642440258186,3.278931158758022e-06,False
frozen,blocks.10.ffn.net.0.proj.bias,blocks.10,8960,8960,2.434743295864905e-09,3.0994415283203125e-06,6.8345504203911606e-06,2.2857060219410967,2.9901266194259073e-06,False
frozen,blocks.10.ffn.net.0.proj.weight,blocks.10,8960x1536,13762560,9.060562078389012e-09,5.0067901611328125e-06,0.00047454689284775597,113.6870790948778,4.174149750577352e-06,False
frozen,blocks.10.ffn.net.2.bias,blocks.10,1536,1536,3.5031309408850575e-08,4.76837158203125e-06,1.066374612768193e-05,0.4143678151308984,2.573497684487761e-05,False
frozen,blocks.10.ffn.net.2.weight,blocks.10,1536x8960,13762560,1.1286104495411564e-08,5.7220458984375e-06,0.0005473325734919815,102.92376672961645,5.317844370482805e-06,False
frozen,blocks.10.scale_shift_table,blocks.10,1x6x1536,9216,2.0076845430594403e-06,4.455447196960449e-06,0.000206256031976237,4.436946350805008,4.648603243507077e-05,False
frozen,blocks.11.attn1.norm_k.weight,blocks.11,1536,1536,0.0,0.0,0.0,54.3573718731243,0.0,True
frozen,blocks.11.attn1.norm_q.weight,blocks.11,1536,1536,0.0,0.0,0.0,54.47064594376727,0.0,True
frozen,blocks.11.attn1.to_k.bias,blocks.11,1536,1536,5.898376453927767e-09,2.6226043701171875e-06,4.17062179673574e-06,2.2421481564356345,1.8601008968845123e-06,False
