trial_id,family,radius_mode,radius_value,adaptive_k,boundary_contribution,aggregation,seed,train_steps,psnr,ssim,lpips,vfid_or_fvd,tc,ewarp,mask_psnr,boundary_psnr,delta_vs_sft,delta_vs_exp11_s1,delta_vs_exp11_s2,loser_degrade_ratio,max_grad_norm,target_reached,status,checkpoint_path
RB04,region_balanced,fixed_image_px,16.0,0.0,2.0,region_balanced,20260619,,29.339191875622458,0.9687515571502627,0.017976106762337928,0.22531470051613445,0.9760948764565198,11.999816208038322,17.033880583110033,22.90867133049079,0.16585587562245863,0.005650875622457363,-0.01618012437754146,0.0,8.183614128169076,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB04_dd9fba8d6dd37f47/last_weights
F06,second_fixed_roots,,,,,,,,29.338728971488816,0.9687607229857766,0.018000676551916207,0.22768296278484623,0.976128818548244,12.012933315576369,17.033417678976388,22.897044807520484,0.16539297148881715,0.00518797148881589,-0.016643028511182933,,,False,,
F05,second_fixed_roots,,,,,,,,29.338527760373854,0.9687750481409161,0.01795729140394542,0.2273567846410658,0.9761348504411137,12.017715940008044,17.03321646786143,22.895326462478444,0.16519176037385463,0.004986760373853372,-0.016844239626145452,,,False,,
F03,second_fixed_roots,fixed_image_px,14.0,0.0,1.5,legacy_global_weighted_mean,20260619,,29.338366617692145,0.9687423017105352,0.01800342980156226,0.2280376299569844,0.9761387940658175,12.006760950617203,17.03305532517972,22.899961251949147,0.1650306176921461,0.004825617692144846,-0.017005382307853978,1.0,11.052141985946916,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F03_bda53f780b22f565/last_weights
RB03,region_balanced,fixed_image_px,16.0,0.0,1.5,region_balanced,20260619,,29.33676184588612,0.9687618797196494,0.017863661207835925,0.22435594070353249,0.976087023868509,12.009634920421217,17.03145055337369,22.90469683345009,0.1634258458861204,0.0032208458861191502,-0.018610154113879673,0.0,8.445849388324865,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB03_650c095bca7fbe22/last_weights
Exp11_outer_b075_S1_plus_SFT_S2,first_wave,,,,,,,,29.333541213461046,0.9684316593359608,0.01810283394297585,0.21539123158810325,0.9761474320422048,11.957009077496362,17.02822992094862,22.935509215437776,0.16020521346104744,2.134610461723696e-07,-0.02183078653895265,,,False,,
RB02,region_balanced,fixed_image_px,16.0,0.0,1.0,region_balanced,20260619,,29.330825402599768,0.9687523176914595,0.017711739603934497,0.22268828330435486,0.9760935256338638,12.023061918981789,17.025514110087343,22.89858029876652,0.15748940259976862,-0.002715597400232639,-0.024546597400231462,0.0,9.697885825683715,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB02_fb3996464525c9ea/last_weights
RB01,region_balanced,fixed_image_px,16.0,0.0,0.75,region_balanced,20260619,,29.32765068542861,0.9687467698786973,0.017626100838848895,0.22188214947291485,0.9760712511513545,12.031673459719256,17.02233939291618,22.8939519716045,0.15431468542860927,-0.005890314571391997,-0.02772131457139082,0.0,10.746512766855947,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB01_f56d72a7fa42dfd9/last_weights
RB06,region_balanced,fixed_image_px,24.0,0.0,1.0,region_balanced,20260619,,29.322437889029136,0.9686975896653067,0.017714025947498158,0.22267140763994986,0.9761003315772699,12.022642194294704,17.017126596516707,22.887098812311788,0.14910188902913646,-0.011103110970864805,-0.03293411097086363,0.0,11.25613543640812,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB06_2774f6fdd2227347/last_weights
RB07,region_balanced,fixed_image_px,24.0,0.0,1.5,region_balanced,20260619,,29.3220293368241,0.9686417706959674,0.01796290770168222,0.22382356691015826,0.976090789327155,12.0003291160332,17.016718044311673,22.889238571116266,0.14869333682410257,-0.01151166317589869,-0.03334266317589751,1.0,10.15984838439177,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB07_bfea3261a43564d3/last_weights
SFT48000_baseline,first_wave,,,,,,,,29.173336144795606,0.9677177390724924,0.018903460277215345,0.2382367002607686,0.9757718981608101,11.997202460367156,16.868024852283177,22.530202979409168,1.44795606615844e-07,-0.16020485520439465,-0.18203585520439347,,,False,,
Exp20_legacy_exact_untrained_control,first_wave,,,,,,,,29.173324283398095,0.9677169040101814,0.018902289420414792,0.23804991801263187,0.9758071886456531,11.997321901380138,16.868012990885667,22.53016590393503,-1.1716601903799528e-05,-0.16021671660190506,-0.1820477166019039,,,False,,
